GAME_NAME,CATEGORY
"60 Seconds!",Simulation
"60 Seconds!",Strategy
ARK: Survival Evolved,Adventure Game
ARK: Survival Evolved,Arcade
ARK: Survival Evolved,Card & Board Game
ARK: Survival Evolved,FPS
ARK: Survival Evolved,RPG
ARK: Survival Evolved,Shooter
ARK: Survival Evolved,Simulation
ARK: Survival Evolved,Sports Game
ARK: Survival Evolved,Strategy
ASMR,IRL
Albion Online,MMO
Albion Online,Open World
Albion Online,RPG
Among Us,Adventure Game
Among Us,Indie Game
Among Us,RPG
Among Us,Strategy
Anvil Empires,MMO
Anvil Empires,RTS
Anvil Empires,Strategy
Apex Legends,Action
Apex Legends,FPS
Apex Legends,Shooter
Armored Core VI: Fires of Rubicon,Action
Armored Core VI: Fires of Rubicon,Adventure Game
Art,Creative
Art,IRL
BBQ Simulator: The Squad,Indie Game
BBQ Simulator: The Squad,Simulation
Baldurs Gate 3,Adventure Game
Baldurs Gate 3,RPG
Baldurs Gate 3,Strategy
Black Desert,Action
Black Desert,Adventure Game
Black Desert,FPS
Black Desert,Platformer
Black Desert,RPG
Black Desert,Shooter
Black Desert,Simulation
Bloons TD 6,Action
Bloons TD 6,Strategy
Blue Archive,RPG
Boneraiser Minions,Action
Boneraiser Minions,Indie Game
Brawl Stars,FPS
Brawl Stars,Mobile Game
Brawl Stars,Shooter
Brawlhalla,Fighting
Brawlhalla,Platformer
Brotato,Indie Game
Brotato,RPG
Brotato,Shooter
Call of Duty: Black Ops,Action
Call of Duty: Black Ops,FPS
Call of Duty: Black Ops,Shooter
Call of Duty: Black Ops II,Action
Call of Duty: Black Ops II,FPS
Call of Duty: Black Ops II,Shooter
Call of Duty: Modern Warfare 2,Action
Call of Duty: Modern Warfare 2,FPS
Call of Duty: Modern Warfare 2,Shooter
Call of Duty: Modern Warfare 3,FPS
Call of Duty: Modern Warfare 3,Shooter
Call of Duty: Modern Warfare II,Action
Call of Duty: Modern Warfare II,FPS
Call of Duty: Modern Warfare II,Shooter
Call of Duty: Warzone,FPS
Call of Duty: Warzone,Shooter
Casino Slot Machine,Arcade
Casino Slot Machine,FPS
Casino Slot Machine,Indie Game
Casino Slot Machine,RPG
Casino Slot Machine,Shooter
Casino Slot Machine,Simulation
Casino Slot Machine,Sports Game
Casino Slot Machine,Strategy
Cats Hidden in Paris,Indie Game
Chess,Action
Chess,Strategy
Contraband Police,FPS
Contraband Police,Shooter
Contraband Police,Simulation
CooKing,Indie Game
Counter-Strike: Global Offensive,Action
Counter-Strike: Global Offensive,FPS
Counter-Strike: Global Offensive,Shooter
Cry of Fear,Arcade
Cry of Fear,FPS
Cry of Fear,RPG
Cry of Fear,Shooter
Cyphers,Action
Cyphers,MOBA
Cyphers,RPG
Dark Souls: Remastered,Adventure Game
Dark Souls: Remastered,RPG
Dave the Diver,Adventure Game
Dave the Diver,RPG
DayZ,FPS
DayZ,RPG
DayZ,Shooter
Dead by Daylight,FPS
Dead by Daylight,Indie Game
Dead by Daylight,Shooter
Dead by Daylight,Simulation
Dead by Daylight,Sports Game
Dead by Daylight,Strategy
Deadlink,FPS
Deadlink,Indie Game
Deadlink,Shooter
Deppart Prototype,FPS
Deppart Prototype,Horror
Deppart Prototype,Shooter
Diablo IV,Action
Diablo IV,Horror
Diablo IV,Indie Game
Diablo IV,RPG
Diablo IV,Strategy
Diablo IV,Terror
Doomsday Hunters,FPS
Doomsday Hunters,RPG
Dota 2,Action
Dota 2,MOBA
Dota 2,Strategy
Dragon Ball FighterZ,Action
Dragon Ball FighterZ,Fighting
ELDEN RING,Adventure Game
ELDEN RING,RPG
Escape from Tarkov,Creative
Escape from Tarkov,FPS
Escape from Tarkov,RPG
Escape from Tarkov,Shooter
Escape from Tarkov,Simulation
Escape from Tarkov,Strategy
Escape the Backrooms,Adventure Game
Escape the Backrooms,Indie Game
Eternal Return,Action
