ID,NAME,VIEWS,DATE
1,Só na conversa,492.4 mil espectadores,2023-07-22 13:45:00.0
2,Grand Theft Auto V,334.1 mil espectadores,2023-07-22 13:45:00.0
3,Esportes,317.9 mil espectadores,2023-07-22 13:45:00.0
4,League of Legends,282.2 mil espectadores,2023-07-22 13:45:00.0
5,Counter-Strike: Global Offensive,234.3 mil espectadores,2023-07-22 13:45:00.0
6,VALORANT,214.7 mil espectadores,2023-07-22 13:45:00.0
7,Dota 2,160.3 mil espectadores,2023-07-22 13:45:00.0
8,Remnant II,79.6 mil espectadores,2023-07-22 13:45:00.0
9,Teamfight Tactics,68.5 mil espectadores,2023-07-22 13:45:00.0
10,Diablo IV,65.5 mil espectadores,2023-07-22 13:45:00.0
11,Minecraft,56.1 mil espectadores,2023-07-22 13:45:00.0
12,Fortnite,48.7 mil espectadores,2023-07-22 13:45:00.0
13,World of Warcraft,40.7 mil espectadores,2023-07-22 13:45:00.0
14,Apex Legends,38.7 mil espectadores,2023-07-22 13:45:00.0
15,Casino Slot Machine,29.2 mil espectadores,2023-07-22 13:45:00.0
16,Eventos especiais,23.6 mil espectadores,2023-07-22 13:45:00.0
17,Dead by Daylight,23.4 mil espectadores,2023-07-22 13:45:00.0
18,FIFA 23,22.4 mil espectadores,2023-07-22 13:45:00.0
19,Tekken 8,22.3 mil espectadores,2023-07-22 13:45:00.0
20,Black Desert,21.2 mil espectadores,2023-07-22 13:45:00.0
21,Call of Duty: Warzone,21 mil espectadores,2023-07-22 13:45:00.0
22,Overwatch 2,20.9 mil espectadores,2023-07-22 13:45:00.0
23,Escape from Tarkov,19.9 mil espectadores,2023-07-22 13:45:00.0
24,Música,19.7 mil espectadores,2023-07-22 13:45:00.0
25,World of Tanks,19.2 mil espectadores,2023-07-22 13:45:00.0
26,Rust,18.6 mil espectadores,2023-07-22 13:45:00.0
27,Hearthstone,17.1 mil espectadores,2023-07-22 13:45:00.0
28,Street Fighter 6,16.8 mil espectadores,2023-07-22 13:45:00.0
29,Brawl Stars,15.5 mil espectadores,2023-07-22 13:45:00.0
30,Honkai: Star Rail,15.1 mil espectadores,2023-07-22 13:45:00.0
31,Só na conversa,474.2 mil espectadores,2023-07-22 14:03:00.0
32,Esportes,345.3 mil espectadores,2023-07-22 14:03:00.0
33,Grand Theft Auto V,320.1 mil espectadores,2023-07-22 14:03:00.0
34,League of Legends,304.4 mil espectadores,2023-07-22 14:03:00.0
35,VALORANT,223.9 mil espectadores,2023-07-22 14:03:00.0
36,Dota 2,179.9 mil espectadores,2023-07-22 14:03:00.0
37,Counter-Strike: Global Offensive,151.1 mil espectadores,2023-07-22 14:03:00.0
38,Remnant II,81.4 mil espectadores,2023-07-22 14:03:00.0
39,Diablo IV,63.2 mil espectadores,2023-07-22 14:03:00.0
40,Fortnite,61.6 mil espectadores,2023-07-22 14:03:00.0
41,Minecraft,59.5 mil espectadores,2023-07-22 14:03:00.0
42,Teamfight Tactics,59.4 mil espectadores,2023-07-22 14:03:00.0
43,Apex Legends,50 mil espectadores,2023-07-22 14:03:00.0
44,World of Warcraft,45.7 mil espectadores,2023-07-22 14:03:00.0
45,FIFA 23,39.9 mil espectadores,2023-07-22 14:03:00.0
46,Eventos especiais,25.4 mil espectadores,2023-07-22 14:03:00.0
47,Dead by Daylight,23.9 mil espectadores,2023-07-22 14:03:00.0
48,Escape from Tarkov,22 mil espectadores,2023-07-22 14:03:00.0
49,Call of Duty: Warzone,22 mil espectadores,2023-07-22 14:03:00.0
50,Tekken 8,21.6 mil espectadores,2023-07-22 14:03:00.0
51,Overwatch 2,21.3 mil espectadores,2023-07-22 14:03:00.0
52,Black Desert,20.7 mil espectadores,2023-07-22 14:03:00.0
53,Casino Slot Machine,20.5 mil espectadores,2023-07-22 14:03:00.0
54,Música,19.8 mil espectadores,2023-07-22 14:03:00.0
55,World of Tanks,19.7 mil espectadores,2023-07-22 14:03:00.0
56,Rust,18.3 mil espectadores,2023-07-22 14:03:00.0
57,Hearthstone,17.4 mil espectadores,2023-07-22 14:03:00.0
58,Street Fighter 6,16.7 mil espectadores,2023-07-22 14:03:00.0
59,Brawl Stars,15.8 mil espectadores,2023-07-22 14:03:00.0
60,Slots,15.1 mil espectadores,2023-07-22 14:03:00.0
61,Só na conversa,390.5 mil espectadores,2023-07-23 01:36:00.0
62,Grand Theft Auto V,200.3 mil espectadores,2023-07-23 01:36:00.0
63,Apex Legends,95.1 mil espectadores,2023-07-23 01:36:00.0
64,League of Legends,83.2 mil espectadores,2023-07-23 01:36:00.0
65,VALORANT,66.7 mil espectadores,2023-07-23 01:36:00.0
66,Remnant II,49.2 mil espectadores,2023-07-23 01:36:00.0
67,Diablo IV,38.9 mil espectadores,2023-07-23 01:36:00.0
68,Fortnite,38.2 mil espectadores,2023-07-23 01:36:00.0
69,Música,38.3 mil espectadores,2023-07-23 01:36:00.0
70,Teamfight Tactics,38.2 mil espectadores,2023-07-23 01:36:00.0
71,Minecraft,33.9 mil espectadores,2023-07-23 01:36:00.0
72,Casino Slot Machine,30 mil espectadores,2023-07-23 01:36:00.0
73,Tom Clancys Rainbow Six Siege,26.3 mil espectadores,2023-07-23 01:36:00.0
74,Dead by Daylight,26.1 mil espectadores,2023-07-23 01:36:00.0
75,Overwatch 2,22.3 mil espectadores,2023-07-23 01:36:00.0
76,Call of Duty: Warzone,21.9 mil espectadores,2023-07-23 01:36:00.0
77,Dota 2,19.2 mil espectadores,2023-07-23 01:36:00.0
78,Counter-Strike: Global Offensive,16.4 mil espectadores,2023-07-23 01:36:00.0
79,Call of Duty: Modern Warfare II,16.3 mil espectadores,2023-07-23 01:36:00.0
80,Im Only Sleeping,16.2 mil espectadores,2023-07-23 01:36:00.0
81,ARK: Survival Evolved,16.1 mil espectadores,2023-07-23 01:36:00.0
82,World of Warcraft,15.1 mil espectadores,2023-07-23 01:36:00.0
83,Baldurs Gate 3,14.5 mil espectadores,2023-07-23 01:36:00.0
84,My Friendly Neighborhood,14.4 mil espectadores,2023-07-23 01:36:00.0
85,Honkai: Star Rail,13.4 mil espectadores,2023-07-23 01:36:00.0
86,Slots,13.1 mil espectadores,2023-07-23 01:36:00.0
87,Games + Demos,13 mil espectadores,2023-07-23 01:36:00.0
88,Black Desert,12.7 mil espectadores,2023-07-23 01:36:00.0
89,ASMR,12.5 mil espectadores,2023-07-23 01:36:00.0
90,NARAKA: BLADEPOINT,12.3 mil espectadores,2023-07-23 01:36:00.0
91,Só na conversa,382.4 mil espectadores,2023-07-23 01:53:00.0
92,Grand Theft Auto V,201.2 mil espectadores,2023-07-23 01:53:00.0
93,Apex Legends,103.9 mil espectadores,2023-07-23 01:53:00.0
94,League of Legends,80.3 mil espectadores,2023-07-23 01:53:00.0
95,VALORANT,65.5 mil espectadores,2023-07-23 01:53:00.0
96,Remnant II,47.4 mil espectadores,2023-07-23 01:53:00.0
97,Teamfight Tactics,40 mil espectadores,2023-07-23 01:53:00.0
98,Música,38.2 mil espectadores,2023-07-23 01:53:00.0
99,Fortnite,37.9 mil espectadores,2023-07-23 01:53:00.0
100,Diablo IV,36 mil espectadores,2023-07-23 01:53:00.0
101,Minecraft,31.6 mil espectadores,2023-07-23 01:53:00.0
102,Casino Slot Machine,29.8 mil espectadores,2023-07-23 01:53:00.0
103,Dead by Daylight,26.3 mil espectadores,2023-07-23 01:53:00.0
104,Tom Clancys Rainbow Six Siege,25.4 mil espectadores,2023-07-23 01:53:00.0
105,Call of Duty: Warzone,21.4 mil espectadores,2023-07-23 01:53:00.0
106,Street Fighter 6,20.2 mil espectadores,2023-07-23 01:53:00.0
107,Dota 2,20 mil espectadores,2023-07-23 01:53:00.0
108,Overwatch 2,16.6 mil espectadores,2023-07-23 01:53:00.0
109,Counter-Strike: Global Offensive,16.1 mil espectadores,2023-07-23 01:53:00.0
110,ARK: Survival Evolved,15.7 mil espectadores,2023-07-23 01:53:00.0
111,World of Warcraft,14.3 mil espectadores,2023-07-23 01:53:00.0
112,Baldurs Gate 3,13.7 mil espectadores,2023-07-23 01:53:00.0
113,Im Only Sleeping,13.3 mil espectadores,2023-07-23 01:53:00.0
114,Honkai: Star Rail,13.3 mil espectadores,2023-07-23 01:53:00.0
115,Call of Duty: Modern Warfare II,13.1 mil espectadores,2023-07-23 01:53:00.0
116,My Friendly Neighborhood,13 mil espectadores,2023-07-23 01:53:00.0
117,Black Desert,13 mil espectadores,2023-07-23 01:53:00.0
118,Slots,12.7 mil espectadores,2023-07-23 01:53:00.0
119,Grounded,12.6 mil espectadores,2023-07-23 01:53:00.0
120,NARAKA: BLADEPOINT,12.4 mil espectadores,2023-07-23 01:53:00.0
121,Só na conversa,359.1 mil espectadores,2023-07-23 02:10:00.0
122,Grand Theft Auto V,198.7 mil espectadores,2023-07-23 02:10:00.0
123,League of Legends,86.1 mil espectadores,2023-07-23 02:10:00.0
124,VALORANT,70.5 mil espectadores,2023-07-23 02:10:00.0
125,Remnant II,48 mil espectadores,2023-07-23 02:10:00.0
126,Teamfight Tactics,42.1 mil espectadores,2023-07-23 02:10:00.0
127,Apex Legends,42.8 mil espectadores,2023-07-23 02:10:00.0
128,Música,38.1 mil espectadores,2023-07-23 02:10:00.0
129,Fortnite,37.3 mil espectadores,2023-07-23 02:10:00.0
130,Diablo IV,36.1 mil espectadores,2023-07-23 02:10:00.0
131,Minecraft,30.3 mil espectadores,2023-07-23 02:10:00.0
132,Dead by Daylight,26.2 mil espectadores,2023-07-23 02:10:00.0
133,Casino Slot Machine,24.7 mil espectadores,2023-07-23 02:10:00.0
134,Dota 2,21.1 mil espectadores,2023-07-23 02:10:00.0
135,Counter-Strike: Global Offensive,19.5 mil espectadores,2023-07-23 02:10:00.0
136,Call of Duty: Warzone,18.5 mil espectadores,2023-07-23 02:10:00.0
137,Overwatch 2,16.8 mil espectadores,2023-07-23 02:10:00.0
138,Street Fighter 6,15.4 mil espectadores,2023-07-23 02:10:00.0
139,World of Warcraft,14.7 mil espectadores,2023-07-23 02:10:00.0
140,ARK: Survival Evolved,14.3 mil espectadores,2023-07-23 02:10:00.0
141,Baldurs Gate 3,13.8 mil espectadores,2023-07-23 02:10:00.0
142,Grounded,13.1 mil espectadores,2023-07-23 02:10:00.0
143,Call of Duty: Modern Warfare II,13.3 mil espectadores,2023-07-23 02:10:00.0
144,Black Desert,13.2 mil espectadores,2023-07-23 02:10:00.0
145,Honkai: Star Rail,13.6 mil espectadores,2023-07-23 02:10:00.0
146,My Friendly Neighborhood,12.8 mil espectadores,2023-07-23 02:10:00.0
147,ASMR,12.7 mil espectadores,2023-07-23 02:10:00.0
148,NARAKA: BLADEPOINT,12.6 mil espectadores,2023-07-23 02:10:00.0
149,Im Only Sleeping,12.2 mil espectadores,2023-07-23 02:10:00.0
150,Slots,11.5 mil espectadores,2023-07-23 02:10:00.0
151,Só na conversa,345.3 mil espectadores,2023-07-23 02:27:00.0
152,Grand Theft Auto V,193.5 mil espectadores,2023-07-23 02:27:00.0
153,League of Legends,79.8 mil espectadores,2023-07-23 02:27:00.0
